כמות	הערות	מס הזמנה	מק"ט	שם הפתיל	תאריך
4			310904376		14/01/2026
1			310904198		14/01/2026
2			310904244		14/01/2026
1			310911909		14/01/2026
14			319666768		14/01/2026
3				חאנ 892	14/01/2026
2				חאנ 988	14/01/2026
5	גריטה		311002228		14/01/2026
2			315030285		14/01/2026
8			325572121		14/01/2026
2				קורא מפלס	14/01/2026
2			309415345		14/01/2026
16				חוליה גמישה	14/01/2026
2				מת 624	14/01/2026
1				מת 288	14/01/2026
4				חוליה קשיחה	14/01/2026
4				אנ 117	14/01/2026
2				אנ  116	14/01/2026
4				אנ 118	14/01/2026
2			310904244		14/01/2026
4			319650296		14/01/2026
1			319654879		14/01/2026
1			310721042		14/01/2026
2			310721115		14/01/2026
2			310721085		14/01/2026
18				4273	14/01/2026
7			323511390		14/01/2026
5			319201246		14/01/2026
1				מגפון	14/01/2026
3			326028800		14/01/2026
1				חאנ 4242	14/01/2026
11			319651969		14/01/2026
1			309344901		14/01/2026
6			309415345		14/01/2026
7				קורא מפלס	14/01/2026
1			310904198		14/01/2026
2			310904171		14/01/2026
2			310904201		14/01/2026
1			380901050		14/01/2026
1				חאנ 2841	14/01/2026
2				אנטנת סנפיר	14/01/2026
3			167238734		14/01/2026
2			315612497		14/01/2026
1	גריטה		319646841		14/01/2026
2	גריטה		314268512		14/01/2026
1			323573085		14/01/2026
2			310904244		14/01/2026
1			310904198		14/01/2026
1			310911909		14/01/2026
1			310721050		14/01/2026
1			319658860		14/01/2026
4			310904200		14/01/2026
1				פתיל לב	14/01/2026
4				חוליה קשיחה	14/01/2026
1			319531645		14/01/2026
1			310703958		14/01/2026
1			317073364		14/01/2026
1			323589259		14/01/2026
1			319204989		14/01/2026
1			310706914		14/01/2026
1			310703958		14/01/2026
2			327913506		14/01/2026
1			310767988		14/01/2026
1			310708933		14/01/2026
1			326400661		14/01/2026
1			310706914		14/01/2026
1			310713953		14/01/2026
1			318202616		14/01/2026
1			311001230		14/01/2026
1			310707953		14/01/2026
1				אנ 988	14/01/2026
1			309414691		14/01/2026
1			310705217		14/01/2026
1			310703958		14/01/2026
1				מכ 18 	14/01/2026
1			319202390		14/01/2026
1				מיקרו USB 	14/01/2026
1			319531130		14/01/2026
1			310706914		14/01/2026
1			319654440		14/01/2026
1			310811017		14/01/2026
1			319207414		14/01/2026
1	עגלה 1 קומה 1			קורא מפלס	15/01/2026
1			319221395		15/01/2026
2			327706217		15/01/2026
1			309414624		15/01/2026
1			319531130		15/01/2026
1			309424239		15/01/2026
1			310706914		15/01/2026
2	עגלה 1 קומה 2		326400858		15/01/2026
1			319207023		15/01/2026
1			758216403		15/01/2026
3			319202552		15/01/2026
1			309360559		15/01/2026
2			309414691		15/01/2026
10			319202390		15/01/2026
3			310706922		15/01/2026
1			758216403		15/01/2026
1			309360559		15/01/2026
1			310705110		15/01/2026
1			310705098		15/01/2026
1			310705080		15/01/2026
1			310705071		15/01/2026
	עגלה 1 קומה 3				15/01/2026
2				אבדש חיק	15/01/2026
1				פתיל לב	15/01/2026
1			310705187		15/01/2026
2			309414640		15/01/2026
1			317826087		15/01/2026
3			309414772		15/01/2026
1			310706914		15/01/2026
1			310705101		15/01/2026
1			310707996		15/01/2026
1			310811238		15/01/2026
1			310705187		15/01/2026
1			319531785		15/01/2026
1			310707996		18/01/2026
20			323511390		19/01/2026
1			310705071		19/01/2026
1			310712795		19/01/2026
2				חוליה גמישה	19/01/2026
1			326418226		19/01/2026
1				פתיל לב	19/01/2026
1				סנפיר	19/01/2026
1				חאן 2713	19/01/2026
